nome,rede,cidade,estado,lat,lon,telefone,email,website
A. MORAIS CAMILO LTDA,Bosch,EPITACIOLANDIA,Acre,-11.2575542194354,-68.74027852667568,5568999251825.0,moraisandreia0210@gmail.com,
Dalcar Auto Peças Ltda,Bosch,RIO BRANCO,Acre,-9.9669271,-67.819428,556832244947.0,dalcarautopecas@hotmail.com,
Varga Jatiúca,Bosch,MACEIO,Alagoas,-9.6469063,-35.7048577,5582988401027.0,financeirosm@vargamaceio.com.br,
Varga Tabuleiro,Bosch,MACEIÓ,Alagoas,-9.595276,-35.7506949,5582996757667.0,financeirotab@vargamaceio.com.br,
ATALIBA MECÂNICA TÉCNICA,Bosch,MANAUS,Amazonas,-3.1175029,-60.0051918,559236633059.0,ataliba@atalibamecanica.com.br,
JG Auto Center Autopeças e Oficina Manaus,Bosch,MANAUS,Amazonas,-3.0217214,-59.9808324,559230455880.0,nazaps75@hotmail.com,
K L RENT A CAR,Bosch,MANAUS,Amazonas,-3.1228716,-60.0123609,5592984453345.0,financeiro@klrentacar.com.br,
OFICINA PETROCAR,Bosch,MANAUS,Amazonas,-3.1109262,-59.99793469999999,5.592361124843611e+19,petrocar@n3.com.br,petrocar.com.br
Oficina Dubai,Bosch,MANAUS,Amazonas,-3.0738209,-60.0316844,559231999856.0,contato@oficinadubai.com.br,
MLS PADRAO SERVICOS AUTOMOTIVOS LTDA,Bosch,MANAUS,Amazonas,-3.0067876,-59.9322151,5592991974892.0,finaltronic@gmail.com,
TECNOCAR,Bosch,BARRA DA ESTIVA,Bahia,-13.6263157,-41.3327939,557734501781.0,gilchapada2010@hotmail.com,
Centro Automotivo Pirinelli,Bosch,BOQUIRA,Bahia,-12.8211547,-42.73121159999999,557736452664.0,LENE.GIZ43@GMAIL.COM,
W.M.K. AUTO SERVICOS PECAS LTDA,Bosch,CAMACARI,Bahia,-12.6971578,-38.3332309,557136227600.0,administrativo@wmk.com.br,
INJECAO & CIA,Bosch,CAMAÇARI,Bahia,-12.6986686,-38.3286763,557136443033.0,injecaoeciafinanceiro02@yahoo.com,
Casa das Oficinas,Bosch,CÍCERO DANTAS,Bahia,-10.6028998,-38.3858259,5575999161604.0,boschcarservicecasaoficinas@hotmail.com,https://www.oficinaboschservice.com.br/casadasoficinas
JAL,Bosch,EUNÁPOLIS,Bahia,-16.366074,-39.5813559,557332818900.0,joao.baldo@jalautopecas.com,https://www.oficinaboschservice.com.br/jalautopecas
Bosch Car Service - Sedecar Auto Center,Bosch,FEIRA DE SANTANA,Bahia,-12.2448556,-38.96397770000001,557536232155.0,sedecar@sedecar.com.br,https://www.oficinaboschservice.com.br/sedecarautocenter
G CAR AUTO CENTER,Bosch,FEIRA DE SANTANA,Bahia,-12.3050065,-38.9452179,557536160016.0,contato@gcarautocenter.com.br,https://www.oficinaboschservice.com.br/gcarautocenter
CARPOWER SERVICOS AUTOMOTIVOS LTDA,Bosch,FEIRA DE SANTANA,Bahia,-12.2597002,-38.9325969,557530213200.0,dgalderisi@me.com,
ROTOR VEICULOS,Bosch,ILHÉUS,Bahia,-14.7909127,-39.03936789999999,55736345896.0,Adm@rotorveiculos.com.br,https://www.oficinaboschservice.com.br/rotorveiculos
DECAUTO PECAS LTDA,Bosch,ITABELA,Bahia,-16.57173443347581,-39.56093583721345,5573999443918.0,DECAUTOPECAS@HOTMAIL.COM,
M. K. AUTO SERVICE LTDA,Bosch,ITABUNA,Bahia,-14.7924167,-39.2820788,5573988118197.0,itabuna.karbosch@gmail.com,
JB AUTO CENTER,Bosch,JACOBINA,Bahia,-11.1781332,-40.5248612,557436213399.0,jbboschfinanceiro@gmail.com,
"Topmixx Auto Peças, Pneus, Oficina, Locações e Transportadora.",Bosch,JAGUAQUARA,Bahia,-13.5177643,-40.0578232,557388180303.0,topmixxboschcarservice@hotmail.com,
NOGUEIRA E ANDRADE PECAS E ACESSORIOS PA,Bosch,JEREMOABO,Bahia,-10.06258,-38.34797,5575997042950.0,pointcarba@gmail.com,
